Country_Name,RE_Inexpensive_Meal,RE_Meal_2Ppl,RE_Combo_Meal,RE_Domestic_Beer,RE_Imported_Beer,RE_Cappuccino,RE_Coke/Pepsi,RE_Water,MK_Milk,MK_White_Bread,MK_Rice,MK_Eggs,MK_Cheese,MK_Chicken_Breasts,MK_Red_Meat,MK_Apples,MK_Banana,MK_Oranges,MK_Tomato,MK_Potato,MK_Onion,MK_Lettuce,MK_Water,MK_Wine,MK_Domestic_Beer,MK_Imported_Beer,MK_Cigarettes_Pack,TR_Ticket,TR_Monthly_Pass,TR_Taxi_Start,TR_Taxi_1km,TR_Taxi_1h,TR_Gasoline,TR_VW_Golf,TR_TY_Corolla,UT_Basic_85m2,UT_Prepaid_Mobile,UT_Internet,SL_Fitness_Club,SL_Tennis,SL_Cinema,CH_Preschool,CH_International_School,CS_Jeans,CS_Summer_Dress,CS_Running_Shoes,CS_Leather_Shoes,RM_Apartment_1Centre,RM_Apartment_1Outside,RM_Apartment_3Centre,RM_Apartment_3Outside,BA_PriceM2_Centre,BA_PriceM2_Outside,SF_Average_Salary,SF_Mortgage_%Yearly
Peru,3.06,20.00,4.59,1.84,2.75,2.36,0.73,0.46,1.29,1.57,1.09,1.70,6.69,3.98,6.84,1.33,1.02,1.00,1.05,0.73,0.83,0.70,0.85,7.65,1.60,2.69,3.37,0.46,25.90,1.84,1.53,6.12,1.08,"19,886.80","19,049.78",50.88,0.15,39.68,44.28,14.09,5.51,187.95,"5,773.73",45.55,33.36,78.86,74.43,412.43,298.78,827.82,545.60,"1,755.50","1,065.03",417.07,10.03
Philippines,2.85,13.29,2.85,0.95,1.71,1.95,0.50,0.31,1.46,0.98,0.86,1.44,6.36,3.13,5.05,2.21,1.06,1.93,1.03,1.46,1.31,1.13,0.64,5.70,0.83,1.53,1.23,0.16,9.50,0.76,0.27,2.28,0.85,"25,639.08","22,071.03",73.83,0.14,40.41,28.10,3.94,4.18,322.92,"6,599.95",37.05,22.50,70.03,52.34,235.21,137.97,487.91,266.15,"1,363.58",817.62,290.97,7.43
Poland,5.41,27.04,4.87,1.89,1.89,2.12,1.04,0.79,0.64,0.74,0.86,1.93,5.92,4.18,8.53,0.77,1.16,1.22,1.41,0.45,0.54,0.77,0.48,5.41,0.80,1.10,4.06,0.92,26.77,1.89,0.65,9.46,1.25,"18,926.85","19,940.54",168.57,0.07,13.80,28.62,12.79,6.76,285.14,"12,714.32",70.08,35.08,71.76,78.96,488.96,374.18,801.45,601.25,"2,048.86","1,456.84",895.67,3.77
Portugal,8.16,34.97,6.99,1.75,2.33,1.39,1.37,1.00,0.70,1.25,1.00,1.95,8.59,6.37,10.40,1.69,1.30,1.34,1.54,0.88,0.97,1.03,0.61,4.66,1.02,1.68,5.60,1.75,41.96,3.96,0.58,17.25,1.71,"29,141.27","28,277.28",106.87,0.18,34.08,40.31,14.16,7.58,429.49,"9,895.43",89.97,32.88,81.38,90.92,662.95,447.61,"1,134.55",762.68,"2,633.77","1,530.71",928.66,2.72
Puerto Rico,12.00,46.00,6.50,2.00,3.00,2.29,1.11,1.06,1.84,2.60,2.30,2.71,6.15,7.30,8.51,4.42,1.77,2.85,3.23,2.39,2.15,2.17,1.54,12.00,1.52,3.18,7.95,1.50,30.00,3.00,1.55,16.00,0.68,"26,000.00","22,576.67",185.46,0.19,53.40,33.36,20.38,7.50,344.39,"7,828.89",39.80,41.27,79.69,89.31,545.61,417.26,946.53,750.57,"1,703.86","1,182.49","1,856.92",4.48
Qatar,6.87,41.20,6.87,10.99,10.99,4.95,0.47,0.30,1.73,1.36,1.77,3.43,7.80,7.25,10.56,2.08,1.56,1.60,1.80,1.17,1.02,2.40,0.50,19.23,9.58,10.87,2.75,1.37,27.46,2.75,0.49,10.99,0.49,"20,598.74","17,694.57",75.87,0.17,80.04,117.16,33.26,10.30,597.85,"9,406.76",63.00,44.83,97.44,89.41,"1,712.82","1,184.16","3,402.34","2,328.01","4,314.29","2,566.74","3,586.51",4.63
Reunion,13.99,48.96,8.74,5.25,6.00,4.95,4.08,2.33,1.52,1.92,1.40,4.66,,14.51,24.48,2.91,2.04,2.68,2.39,2.33,1.75,1.46,,11.66,1.88,3.15,9.33,1.92,34.97,,,,1.59,,,92.22,,53.62,66.05,,10.49,699.39,,116.57,,104.91,174.85,738.25,681.91,"1,282.22","1,243.36","2,914.13","2,331.30","1,748.48",1.90
Romania,5.29,25.18,4.53,1.51,2.01,1.65,1.22,0.98,1.02,0.56,1.07,2.24,5.29,4.51,6.92,0.88,1.23,1.13,1.21,0.49,0.54,0.59,0.59,4.78,0.77,1.19,4.15,0.50,15.11,0.45,0.43,4.28,1.33,"18,038.60","19,729.43",105.08,0.14,8.80,33.28,12.20,6.29,325.91,"11,989.10",57.88,35.16,73.01,82.33,339.04,242.88,580.85,410.76,"1,524.33","1,082.91",661.12,3.44
Russia,8.04,32.15,4.82,1.19,2.25,1.98,0.77,0.49,0.90,0.51,1.01,1.11,7.22,4.02,7.20,1.32,1.00,1.27,1.92,0.49,0.44,0.89,0.59,6.43,0.93,1.81,1.93,0.51,28.94,1.59,0.19,4.82,0.64,"16,952.01","18,048.20",109.42,0.02,7.41,35.16,16.20,5.63,315.30,"6,968.36",76.05,42.04,82.75,101.59,477.39,335.60,844.84,562.61,"1,633.73","1,113.52",593.86,11.54
Rwanda,2.90,25.55,5.81,1.16,1.74,2.10,0.60,0.40,0.72,1.53,1.14,1.38,4.45,6.16,2.61,1.97,0.93,0.93,0.77,0.34,0.70,0.58,0.70,13.94,0.91,1.26,1.34,0.35,17.42,5.81,1.74,5.81,1.15,"11,614.40","17,421.60",41.81,0.07,90.59,34.84,4.26,5.73,131.63,958.19,26.57,28.07,40.65,46.46,290.36,159.70,788.12,458.77,"13,859.85","10,452.96",282.18,18.83
